Date,"Transaction","Name","Memo","Amount","Category"
"2022-02-01","DEBIT","DEBIT PURCHASE -VISA Amazon.com*TX0U5Amzn.com/bilWA","Download from usbank.com.4590","-21.65","Amazon"
"2022-02-02","DEBIT","DEBIT PURCHASE ARGONNE         SPOKANE VALLWA","Download from usbank.com.4590","-27.55","Gas"
"2022-02-03","DEBIT","DEBIT PURCHASE SAFEWAY #3255   SPOKANE     WA","Download from usbank.com.4590","-20.80","Groceries"
"2022-02-06","DEBIT","RECURRING DEBIT PURCHASE TRACFONE    *SERTRACFONE.COMFL","Download from usbank.com.4590","-23.23","Phone"
"2022-02-08","DEBIT","DEBIT PURCHASE -VISA USA*SNACK SODA VSPOKANE     WA","Download from usbank.com.4590","-2.49","Vending Machine"
"2022-02-09","CREDIT","ELECTRONIC DEPOSIT GONZAGA UNIVERSI","Download from usbank.com.","829.22","Income"
"2022-02-10","DEBIT","DEBIT PURCHASE TESORO #62149   SPOKANE     WA","Download from usbank.com.4590","-28.03","Gas"
"2022-02-11","DEBIT","DEBIT PURCHASE -VISA VALLEY VENDING  SPOKANE     WA","Download from usbank.com.4590","-2.00","Vending Machine"
"2022-02-12","DEBIT","DEBIT PURCHASE YOKES FRESH MAR SPOKANE VALLWA","Download from usbank.com.4590","-21.03","Groceries"
"2022-02-13","DEBIT","DEBIT PURCHASE SKAGIT COUNTRY SSPOKANE VALLWA","Download from usbank.com.4590","-14.15","Misc"
"2022-02-14","DEBIT","DEBIT PURCHASE -VISA VALLEY VENDING  SPOKANE     WA","Download from usbank.com.4590","-2.50","Vending Machine"
"2022-02-15","DEBIT","DEBIT PURCHASE -VISA SNACK SODA VENDISPOKANE     WA","Download from usbank.com.4590","-5.91","Vending Machine"
"2022-02-16","DEBIT","ELECTRONIC WITHDRAWAL PLANET FIT","Download from usbank.com.","-25.10","Gym"
"2022-02-17","DEBIT","DEBIT PURCHASE -VISA THOMAS HAMMER COSPOKANE     WA","Download from usbank.com.4590","-3.27","Coffee"
"2022-02-18","DEBIT","DEBIT PURCHASE -VISA GONZAGA HEMMINGSSPOKANE     WA","Download from usbank.com.4590","-10.29","Food"
"2022-02-19","DEBIT","DEBIT PURCHASE -VISA GONZAGAMEAL   24SPOKANE     WA","Download from usbank.com.4590","-8.71","Food"
"2022-02-20","DEBIT","DEBIT PURCHASE -VISA 3322 GREAT CLIPSSPOKANE     WA","Download from usbank.com.4590","-29.00","Hair"
"2022-02-21","DEBIT","DEBIT PURCHASE WINCO FOODS #70 Spokane VallWA","Download from usbank.com.4590","-32.73","Groceries"
"2022-02-22","DEBIT","DEBIT PURCHASE -VISA THOMAS HAMMER COSPOKANE     WA","Download from usbank.com.4590","-6.55","Coffee"
"2022-02-23","DEBIT","RECURRING DEBIT PURCHASE PANDORA*INTERNETPDORA.COM/BICA","Download from usbank.com.4590","-5.43","Pandora"
"2022-02-24","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-2.60","Vending Machine"
"2022-02-25","DEBIT","DEBIT PURCHASE -VISA GONZAGA HEMMINGSSPOKANE     WA","Download from usbank.com.4590","-10.24","Food"
"2022-02-26","CREDIT","ELECTRONIC DEPOSIT GONZAGA UNIVERSI","Download from usbank.com.","257.87","Income"
"2022-02-27","DEBIT","DEBIT PURCHASE SUPER 1 FOODS # SPOKANE     WA","Download from usbank.com.4590","-121.74","Groceries"
"2022-02-28","DEBIT","DEBIT PURCHASE -VISA PITA PIT - 06-00SPOKANE     WA","Download from usbank.com.4590","-12.89","Food"
"2022-03-01","DEBIT","DEBIT PURCHASE -VISA THOMAS HAMMER COSPOKANE     WA","Download from usbank.com.4590","-6.55","Coffee"
"2022-03-02","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-3.10","Vending Machine"
"2022-03-03","DEBIT","DEBIT PURCHASE -VISA GONZAGAMEAL   24SPOKANE     WA","Download from usbank.com.4590","-10.45","Food"
"2022-03-04","DEBIT","DEBIT PURCHASE -VISA THOMAS HAMMER COSPOKANE     WA","Download from usbank.com.4590","-4.08","Coffee"
"2022-03-05","DEBIT","RECURRING DEBIT PURCHASE TRACFONE    *SERTRACFONE.COMFL","Download from usbank.com.4590","-23.23","Phone"
"2022-03-06","DEBIT","DEBIT PURCHASE DOLLAR TREE 9211SPOKANE     WA","Download from usbank.com.4590","-1.36","Misc"
"2022-03-07","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-1.35","Vending Machine"
"2022-03-08","DEBIT","DEBIT PURCHASE -VISA USA*VALLEY VENDILEWISTON    ID","Download from usbank.com.4590","-5.20","Vending Machine"
